ID,Node,Source,Target,Relationship,X,Y,CycleY,Category,Order,Family,Common Names,Weight
1,Bird,Bird,Accipitriformes,Bird-->Accipitriformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
1,Accipitriformes,Bird,Accipitriformes,Bird-->Accipitriformes,0.567337837848,0.380050670212,0.380050670212,0,Accipitriformes,0,0,100
2,Accipitriformes,Accipitriformes,Accipitridae,Accipitriformes-->Accipitridae,0.567337837848,0.380050670212,0.380050670212,0,Accipitriformes,0,0,100
2,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes-->Accipitridae,0.642164612845,0.236117504577,0.236117504577,0,0,Accipitridae,0,50
3,Accipitridae,Accipitridae,Cooper's Hawk,Accipitridae-->Cooper's Hawk,0.642164612845,0.236117504577,0.236117504577,0,0,Accipitridae,0,50
3,Cooper's Hawk,Accipitridae,Cooper's Hawk,Accipitridae-->Cooper's Hawk,0.554551524094,0.0770245424273,0.0770245424273,0,0,0,Cooper's Hawk,20
4,Bird,Bird,Accipitriformes,Bird-->Accipitriformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
4,Accipitriformes,Bird,Accipitriformes,Bird-->Accipitriformes,0.567337837848,0.380050670212,0.380050670212,0,Accipitriformes,0,0,100
5,Accipitriformes,Accipitriformes,Accipitridae,Accipitriformes-->Accipitridae,0.567337837848,0.380050670212,0.380050670212,0,Accipitriformes,0,0,100
5,Accipitridae,Accipitriformes,Accipitridae,Accipitriformes-->Accipitridae,0.642164612845,0.236117504577,0.236117504577,0,0,Accipitridae,0,50
6,Accipitridae,Accipitridae,Northern Goshawk,Accipitridae-->Northern Goshawk,0.642164612845,0.236117504577,0.236117504577,0,0,Accipitridae,0,50
6,Northern Goshawk,Accipitridae,Northern Goshawk,Accipitridae-->Northern Goshawk,0.7939535956,0.191964199689,0.191964199689,0,0,0,Northern Goshawk,20
7,Bird,Bird,Anseriformes,Bird-->Anseriformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
7,Anseriformes,Bird,Anseriformes,Bird-->Anseriformes,0.354055321181,0.583144411801,0.583144411801,0,Anseriformes,0,0,100
8,Anseriformes,Anseriformes,Anatidae,Anseriformes-->Anatidae,0.354055321181,0.583144411801,0.583144411801,0,Anseriformes,0,0,100
8,Anatidae,Anseriformes,Anatidae,Anseriformes-->Anatidae,0.224864169248,0.708568440134,0.708568440134,0,0,Anatidae,0,50
9,Anatidae,Anatidae,Northern Pintail,Anatidae-->Northern Pintail,0.224864169248,0.708568440134,0.708568440134,0,0,Anatidae,0,50
9,Northern Pintail,Anatidae,Northern Pintail,Anatidae-->Northern Pintail,0.110824595221,0.597227071091,0.597227071091,0,0,0,Northern Pintail,20
10,Bird,Bird,Anseriformes,Bird-->Anseriformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
10,Anseriformes,Bird,Anseriformes,Bird-->Anseriformes,0.354055321181,0.583144411801,0.583144411801,0,Anseriformes,0,0,100
11,Anseriformes,Anseriformes,Anatidae,Anseriformes-->Anatidae,0.354055321181,0.583144411801,0.583144411801,0,Anseriformes,0,0,100
11,Anatidae,Anseriformes,Anatidae,Anseriformes-->Anatidae,0.224864169248,0.708568440134,0.708568440134,0,0,Anatidae,0,50
12,Anatidae,Anatidae,American Wigeon,Anatidae-->American Wigeon,0.224864169248,0.708568440134,0.708568440134,0,0,Anatidae,0,50
12,American Wigeon,Anatidae,American Wigeon,Anatidae-->American Wigeon,0.256496367097,0.879434327587,0.879434327587,0,0,0,American Wigeon,20
13,Bird,Bird,Apodiformes,Bird-->Apodiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
13,Apodiformes,Bird,Apodiformes,Bird-->Apodiformes,0.619747412532,0.504951001563,0.504951001563,0,Apodiformes,0,0,100
14,Apodiformes,Apodiformes,Apodidae,Apodiformes-->Apodidae,0.619747412532,0.504951001563,0.504951001563,0,Apodiformes,0,0,100
14,Apodidae,Apodiformes,Apodidae,Apodiformes-->Apodidae,0.785795554817,0.555782532891,0.555782532891,0,0,Apodidae,0,50
15,Apodidae,Apodidae,White-throated Swift,Apodidae-->White-throated Swift,0.785795554817,0.555782532891,0.555782532891,0,0,Apodidae,0,50
15,White-throated Swift,Apodidae,White-throated Swift,Apodidae-->White-throated Swift,0.814268669854,0.659319217351,0.659319217351,0,0,0,White-throated Swift,20
16,Bird,Bird,Apodiformes,Bird-->Apodiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
16,Apodiformes,Bird,Apodiformes,Bird-->Apodiformes,0.619747412532,0.504951001563,0.504951001563,0,Apodiformes,0,0,100
17,Apodiformes,Apodiformes,Apodidae,Apodiformes-->Apodidae,0.619747412532,0.504951001563,0.504951001563,0,Apodiformes,0,0,100
17,Apodidae,Apodiformes,Apodidae,Apodiformes-->Apodidae,0.785795554817,0.555782532891,0.555782532891,0,0,Apodidae,0,50
18,Apodidae,Apodidae,Black Swift,Apodidae-->Black Swift,0.785795554817,0.555782532891,0.555782532891,0,0,Apodidae,0,50
18,Black Swift,Apodidae,Black Swift,Apodidae-->Black Swift,0.894506862146,0.600879933743,0.600879933743,0,0,0,Black Swift,20
19,Bird,Bird,Caprimulgiformes,Bird-->Caprimulgiformes,0.469365956285,0.50554894756,0.50554894756,Bird,0,0,0,200
19,Caprimulgiformes,Bird,Caprimulgiformes,Bird-->Caprimulgiformes,0.55406206924,0.571110510391,0.571110510391,0,Caprimulgiformes,0,0,100
